Maturity;Instrument;Currency;Quote;UnderlyingIndex;UnderlyingTenor;UnderlyingPaymentFrequency;BasisIndex;BasisTenor;BasisPaymentFrequency;PaymentFrequencyFixed;DayCountFixed;DayCountFloat;DayCountBasis;RollConventionFixed;RollConventionFloat;RollConventionBasis;SpotLag
10Y;IRS;EUR;0,006905;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
12Y;IRS;EUR;0,0089225;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
15Y;IRS;EUR;0,0111025;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
20Y;IRS;EUR;0,01305;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
25Y;IRS;EUR;0,0138425;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
30Y;IRS;EUR;0,0142175;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
40Y;IRS;EUR;0,014415;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
50Y;IRS;EUR;0,01408;EURIBOR;3M;3M;;;;1Y;Act360;Act360;;ModifiedFollowing;ModifiedFollowing;;2D
6M;TBS;EUR;0,000546719;EURIBOR;6M;6M;EURIBOR;3M;3M;6M;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
1Y;TBS;EUR;0,000601083;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
15M;TBS;EUR;0,000633961;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
18M;TBS;EUR;0,00065857;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
2Y;TBS;EUR;0,0007395;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
